lat_box,lng_box,half_year,risk_factor,relative_risk_cleaned,relative_risk_cleaned_truncatedat2
-45,-65,fall_winter,positive_dry_relative_risk,1,1
-45,-65,fall_winter,negative_dry_relative_risk,1,1
-45,145,fall_winter,positive_wet_relative_risk,1,1
-45,145,fall_winter,negative_wet_relative_risk,1,1
-45,145,fall_winter,positive_dry_relative_risk,0,0
-45,145,fall_winter,negative_dry_relative_risk,0,0
-45,145,spring_summer,positive_wet_relative_risk,1,1
-45,145,spring_summer,negative_wet_relative_risk,1,1
-45,145,spring_summer,positive_dry_relative_risk,0,0
-45,145,spring_summer,negative_dry_relative_risk,0,0
-45,167.5,spring_summer,positive_wet_relative_risk,1,1
-45,167.5,spring_summer,negative_wet_relative_risk,1,1
-45,167.5,spring_summer,positive_dry_relative_risk,1,1
-45,167.5,spring_summer,negative_dry_relative_risk,18,2
-45,170,fall_winter,positive_wet_relative_risk,0.40512820512820513,0.40512820512820513
-45,170,fall_winter,negative_wet_relative_risk,0.9002849002849004,0.9002849002849004
-45,170,fall_winter,positive_dry_relative_risk,1,1
-45,170,fall_winter,negative_dry_relative_risk,1,1
-45,170,spring_summer,positive_wet_relative_risk,0,0
-45,170,spring_summer,negative_wet_relative_risk,0.27,0.27
-45,170,spring_summer,positive_dry_relative_risk,1,1
-45,170,spring_summer,negative_dry_relative_risk,18,2
-42.5,-75,spring_summer,positive_wet_relative_risk,0.33908948194662486,0.33908948194662486
-42.5,-75,spring_summer,negative_wet_relative_risk,0.3085714285714286,0.3085714285714286
-42.5,-75,spring_summer,positive_dry_relative_risk,18,2
-42.5,-75,spring_summer,negative_dry_relative_risk,18,2
-42.5,-75,fall_winter,positive_wet_relative_risk,18,2
-42.5,-75,fall_winter,negative_wet_relative_risk,1,1
-42.5,-75,fall_winter,positive_dry_relative_risk,1,1
-42.5,-75,fall_winter,negative_dry_relative_risk,1,1
-42.5,-72.5,spring_summer,positive_wet_relative_risk,0,0
-42.5,-72.5,spring_summer,negative_wet_relative_risk,0,0
-42.5,-72.5,spring_summer,positive_dry_relative_risk,1,1
-42.5,-72.5,spring_summer,negative_dry_relative_risk,18,2
-42.5,-70,spring_summer,positive_wet_relative_risk,0,0
-42.5,-70,spring_summer,negative_wet_relative_risk,0,0
-42.5,-70,spring_summer,positive_dry_relative_risk,1,1
-42.5,-70,spring_summer,negative_dry_relative_risk,1,1
-42.5,-65,fall_winter,positive_wet_relative_risk,1,1
-42.5,-65,fall_winter,negative_wet_relative_risk,1,1
-42.5,-65,fall_winter,positive_dry_relative_risk,0,0
-42.5,-65,fall_winter,negative_dry_relative_risk,0,0
-42.5,145,fall_winter,positive_wet_relative_risk,0.40512820512820513,0.40512820512820513
-42.5,145,fall_winter,negative_wet_relative_risk,0,0
-42.5,145,fall_winter,positive_dry_relative_risk,0.6076923076923078,0.6076923076923078
-42.5,145,fall_winter,negative_dry_relative_risk,1.3504273504273505,1.3504273504273505
-42.5,145,spring_summer,positive_wet_relative_risk,0,0
-42.5,145,spring_summer,negative_wet_relative_risk,0,0
-42.5,145,spring_summer,positive_dry_relative_risk,1,1
-42.5,145,spring_summer,negative_dry_relative_risk,18,2
-42.5,147.5,fall_winter,positive_wet_relative_risk,1,1
-42.5,147.5,fall_winter,negative_wet_relative_risk,1,1
-42.5,147.5,fall_winter,positive_dry_relative_risk,0,0
-42.5,147.5,fall_winter,negative_dry_relative_risk,0,0
-42.5,170,fall_winter,positive_wet_relative_risk,2.430769230769231,2
-42.5,170,fall_winter,negative_wet_relative_risk,0,0
-42.5,170,fall_winter,positive_dry_relative_risk,1,1
-42.5,170,fall_winter,negative_dry_relative_risk,1,1
-42.5,170,spring_summer,positive_wet_relative_risk,1,1
-42.5,170,spring_summer,negative_wet_relative_risk,18,2
-42.5,170,spring_summer,positive_dry_relative_risk,1,1
-42.5,170,spring_summer,negative_dry_relative_risk,1,1
-42.5,172.5,spring_summer,positive_wet_relative_risk,0.7912087912087913,0.7912087912087913
-42.5,172.5,spring_summer,negative_wet_relative_risk,0,0
-42.5,172.5,spring_summer,positive_dry_relative_risk,0,0
-42.5,172.5,spring_summer,negative_dry_relative_risk,0,0
-42.5,172.5,fall_winter,positive_wet_relative_risk,0.6076923076923078,0.6076923076923078
-42.5,172.5,fall_winter,negative_wet_relative_risk,0,0
-42.5,172.5,fall_winter,positive_dry_relative_risk,1,1
-42.5,172.5,fall_winter,negative_dry_relative_risk,1,1
-40,-75,spring_summer,positive_wet_relative_risk,0.4747252747252748,0.4747252747252748
-40,-75,spring_summer,negative_wet_relative_risk,1.296,1.296
-40,-75,spring_summer,positive_dry_relative_risk,18,2
-40,-75,spring_summer,negative_dry_relative_risk,18,2
-40,-75,fall_winter,positive_wet_relative_risk,18,2
-40,-75,fall_winter,negative_wet_relative_risk,1,1
-40,-75,fall_winter,positive_dry_relative_risk,1,1
-40,-75,fall_winter,negative_dry_relative_risk,1,1
-40,-72.5,fall_winter,positive_wet_relative_risk,18,2
-40,-72.5,fall_winter,negative_wet_relative_risk,1,1
-40,-72.5,fall_winter,positive_dry_relative_risk,0,0
-40,-72.5,fall_winter,negative_dry_relative_risk,3.150997150997151,2
-40,-72.5,spring_summer,positive_wet_relative_risk,0.29670329670329676,0.29670329670329676
-40,-72.5,spring_summer,negative_wet_relative_risk,0.81,0.81
-40,-72.5,spring_summer,positive_dry_relative_risk,18,2
-40,-72.5,spring_summer,negative_dry_relative_risk,18,2
-40,-70,spring_summer,positive_wet_relative_risk,1.186813186813187,1.186813186813187
-40,-70,spring_summer,negative_wet_relative_risk,0,0
-40,-70,spring_summer,positive_dry_relative_risk,0,0
-40,-70,spring_summer,negative_dry_relative_risk,0.54,0.54
-40,-70,fall_winter,positive_wet_relative_risk,1,1
-40,-70,fall_winter,negative_wet_relative_risk,18,2
-40,-70,fall_winter,positive_dry_relative_risk,18,2
-40,-70,fall_winter,negative_dry_relative_risk,1,1
-40,-67.5,spring_summer,positive_wet_relative_risk,1.186813186813187,1.186813186813187
-40,-67.5,spring_summer,negative_wet_relative_risk,1.08,1.08
-40,-67.5,spring_summer,positive_dry_relative_risk,0,0
-40,-67.5,spring_summer,negative_dry_relative_risk,0.54,0.54
-40,-67.5,fall_winter,positive_wet_relative_risk,18,2
-40,-67.5,fall_winter,negative_wet_relative_risk,18,2
-40,-67.5,fall_winter,positive_dry_relative_risk,18,2
-40,-67.5,fall_winter,negative_dry_relative_risk,18,2
-40,-65,spring_summer,positive_wet_relative_risk,0,0
-40,-65,spring_summer,negative_wet_relative_risk,0,0
-40,-65,spring_summer,positive_dry_relative_risk,1,1
-40,-65,spring_summer,negative_dry_relative_risk,1,1
-40,-57.5,spring_summer,positive_wet_relative_risk,18,2
-40,-57.5,spring_summer,negative_wet_relative_risk,1,1
-40,-57.5,spring_summer,positive_dry_relative_risk,18,2
-40,-57.5,spring_summer,negative_dry_relative_risk,1,1
-40,140,fall_winter,positive_wet_relative_risk,18,2
-40,140,fall_winter,negative_wet_relative_risk,1,1
-40,140,fall_winter,positive_dry_relative_risk,1,1
-40,140,fall_winter,negative_dry_relative_risk,1,1
-40,142.5,fall_winter,positive_wet_relative_risk,0,0
-40,142.5,fall_winter,negative_wet_relative_risk,0,0
-40,142.5,fall_winter,positive_dry_relative_risk,18,2
-40,142.5,fall_winter,negative_dry_relative_risk,18,2
-40,145,fall_winter,positive_wet_relative_risk,1,1
-40,145,fall_winter,negative_wet_relative_risk,18,2
-40,145,fall_winter,positive_dry_relative_risk,0,0
-40,145,fall_winter,negative_dry_relative_risk,0,0
-40,145,spring_summer,positive_wet_relative_risk,1,1
-40,145,spring_summer,negative_wet_relative_risk,18,2
-40,145,spring_summer,positive_dry_relative_risk,1,1
-40,145,spring_summer,negative_dry_relative_risk,1,1
-40,172.5,spring_summer,positive_wet_relative_risk,18,2
-40,172.5,spring_summer,negative_wet_relative_risk,1,1
-40,172.5,spring_summer,positive_dry_relative_risk,0,0
-40,172.5,spring_summer,negative_dry_relative_risk,0,0
-40,172.5,fall_winter,positive_wet_relative_risk,0,0
-40,172.5,fall_winter,negative_wet_relative_risk,0,0
-40,172.5,fall_winter,positive_dry_relative_risk,1,1
-40,172.5,fall_winter,negative_dry_relative_risk,1,1
-40,175,spring_summer,positive_wet_relative_risk,0.5934065934065935,0.5934065934065935
-40,175,spring_summer,negative_wet_relative_risk,0.54,0.54
-40,175,spring_summer,positive_dry_relative_risk,0,0
-40,175,spring_summer,negative_dry_relative_risk,0,0
-40,175,fall_winter,positive_wet_relative_risk,1.2153846153846155,1.2153846153846155
-40,175,fall_winter,negative_wet_relative_risk,0,0
-40,175,fall_winter,positive_dry_relative_risk,1,1
-40,175,fall_winter,negative_dry_relative_risk,1,1
-40,177.5,spring_summer,positive_wet_relative_risk,0,0
-40,177.5,spring_summer,negative_wet_relative_risk,0,0
-40,177.5,spring_summer,positive_dry_relative_risk,0,0
-40,177.5,spring_summer,negative_dry_relative_risk,0,0
-40,177.5,fall_winter,positive_wet_relative_risk,0,0
-40,177.5,fall_winter,negative_wet_relative_risk,0,0
-40,177.5,fall_winter,positive_dry_relative_risk,1,1
-40,177.5,fall_winter,negative_dry_relative_risk,1,1
-37.5,-75,fall_winter,positive_wet_relative_risk,18,2
-37.5,-75,fall_winter,negative_wet_relative_risk,1,1
-37.5,-75,fall_winter,positive_dry_relative_risk,0,0
-37.5,-75,fall_winter,negative_dry_relative_risk,4.051282051282051,2
-37.5,-75,spring_summer,positive_wet_relative_risk,0.2157842157842158,0.2157842157842158
-37.5,-75,spring_summer,negative_wet_relative_risk,0.19636363636363638,0.19636363636363638
-37.5,-75,spring_summer,positive_dry_relative_risk,4.747252747252748,2
-37.5,-75,spring_summer,negative_dry_relative_risk,2.16,2
-37.5,-72.5,fall_winter,positive_wet_relative_risk,18,2
-37.5,-72.5,fall_winter,negative_wet_relative_risk,1,1
-37.5,-72.5,fall_winter,positive_dry_relative_risk,0,0
-37.5,-72.5,fall_winter,negative_dry_relative_risk,0,0
-37.5,-72.5,spring_summer,positive_wet_relative_risk,0,0
-37.5,-72.5,spring_summer,negative_wet_relative_risk,1.08,1.08
-37.5,-72.5,spring_summer,positive_dry_relative_risk,0,0
-37.5,-72.5,spring_summer,negative_dry_relative_risk,0.044081632653061226,0.044081632653061226
-37.5,-65,fall_winter,positive_wet_relative_risk,1,1
-37.5,-65,fall_winter,negative_wet_relative_risk,1,1
-37.5,-65,fall_winter,positive_dry_relative_risk,0,0
-37.5,-65,fall_winter,negative_dry_relative_risk,0,0
-37.5,-65,spring_summer,positive_wet_relative_risk,0.7912087912087913,0.7912087912087913
-37.5,-65,spring_summer,negative_wet_relative_risk,0,0
-37.5,-65,spring_summer,positive_dry_relative_risk,1,1
-37.5,-65,spring_summer,negative_dry_relative_risk,1,1
-37.5,-60,spring_summer,positive_wet_relative_risk,1.186813186813187,1.186813186813187
-37.5,-60,spring_summer,negative_wet_relative_risk,0,0
-37.5,-60,spring_summer,positive_dry_relative_risk,1,1
-37.5,-60,spring_summer,negative_dry_relative_risk,1,1
-37.5,-57.5,spring_summer,positive_wet_relative_risk,0,0
-37.5,-57.5,spring_summer,negative_wet_relative_risk,0,0
-37.5,-57.5,spring_summer,positive_dry_relative_risk,1,1
-37.5,-57.5,spring_summer,negative_dry_relative_risk,1,1
-37.5,140,fall_winter,positive_wet_relative_risk,1,1
-37.5,140,fall_winter,negative_wet_relative_risk,18,2
-37.5,140,fall_winter,positive_dry_relative_risk,1,1
-37.5,140,fall_winter,negative_dry_relative_risk,1,1
-37.5,142.5,fall_winter,positive_wet_relative_risk,0.8681318681318682,0.8681318681318682
-37.5,142.5,fall_winter,negative_wet_relative_risk,1.3504273504273505,1.3504273504273505
-37.5,142.5,fall_winter,positive_dry_relative_risk,1.2153846153846155,1.2153846153846155
-37.5,142.5,fall_winter,negative_dry_relative_risk,1.8005698005698008,1.8005698005698008
-37.5,142.5,spring_summer,positive_wet_relative_risk,0.4747252747252748,0.4747252747252748
-37.5,142.5,spring_summer,negative_wet_relative_risk,0.8640000000000001,0.8640000000000001
-37.5,142.5,spring_summer,positive_dry_relative_risk,1,1
-37.5,142.5,spring_summer,negative_dry_relative_risk,18,2
-37.5,145,fall_winter,positive_wet_relative_risk,0,0
-37.5,145,fall_winter,negative_wet_relative_risk,2.700854700854701,2
-37.5,145,fall_winter,positive_dry_relative_risk,0.9115384615384616,0.9115384615384616
-37.5,145,fall_winter,negative_dry_relative_risk,0.6752136752136753,0.6752136752136753
-37.5,145,spring_summer,positive_wet_relative_risk,1,1
-37.5,145,spring_summer,negative_wet_relative_risk,18,2
-37.5,145,spring_summer,positive_dry_relative_risk,1,1
-37.5,145,spring_summer,negative_dry_relative_risk,1,1
-37.5,147.5,fall_winter,positive_wet_relative_risk,2.430769230769231,2
-37.5,147.5,fall_winter,negative_wet_relative_risk,0,0
-37.5,147.5,fall_winter,positive_dry_relative_risk,0,0
-37.5,147.5,fall_winter,negative_dry_relative_risk,0,0
-37.5,147.5,spring_summer,positive_wet_relative_risk,2.373626373626374,2
-37.5,147.5,spring_summer,negative_wet_relative_risk,2.16,2
-37.5,147.5,spring_summer,positive_dry_relative_risk,1,1
-37.5,147.5,spring_summer,negative_dry_relative_risk,1,1
-37.5,172.5,spring_summer,positive_wet_relative_risk,0,0
-37.5,172.5,spring_summer,negative_wet_relative_risk,0,0
-37.5,172.5,spring_summer,positive_dry_relative_risk,0,0
-37.5,172.5,spring_summer,negative_dry_relative_risk,0,0
-37.5,172.5,fall_winter,positive_wet_relative_risk,0,0
-37.5,172.5,fall_winter,negative_wet_relative_risk,0,0
-37.5,172.5,fall_winter,positive_dry_relative_risk,1,1
-37.5,172.5,fall_winter,negative_dry_relative_risk,1,1
-37.5,175,spring_summer,positive_wet_relative_risk,0.7912087912087913,0.7912087912087913
-37.5,175,spring_summer,negative_wet_relative_risk,0,0
-37.5,175,spring_summer,positive_dry_relative_risk,0,0
-37.5,175,spring_summer,negative_dry_relative_risk,0,0
-37.5,175,fall_winter,positive_wet_relative_risk,0,0
-37.5,175,fall_winter,negative_wet_relative_risk,0,0
-37.5,175,fall_winter,positive_dry_relative_risk,1,1
-37.5,175,fall_winter,negative_dry_relative_risk,1,1
-37.5,177.5,spring_summer,positive_wet_relative_risk,0,0
-37.5,177.5,spring_summer,negative_wet_relative_risk,0,0
-37.5,177.5,spring_summer,positive_dry_relative_risk,1,1
-37.5,177.5,spring_summer,negative_dry_relative_risk,1,1
-35,-72.5,fall_winter,positive_wet_relative_risk,1.2153846153846155,1.2153846153846155
-35,-72.5,fall_winter,negative_wet_relative_risk,0,0
-35,-72.5,fall_winter,positive_dry_relative_risk,0.8102564102564103,0.8102564102564103
-35,-72.5,fall_winter,negative_dry_relative_risk,1.3504273504273503,1.3504273504273503
-35,-72.5,spring_summer,positive_wet_relative_risk,0.6473526473526474,0.6473526473526474
-35,-72.5,spring_summer,negative_wet_relative_risk,0.39272727272727276,0.39272727272727276
-35,-72.5,spring_summer,positive_dry_relative_risk,2.373626373626374,2
-35,-72.5,spring_summer,negative_dry_relative_risk,1.08,1.08
-35,-70,fall_winter,positive_wet_relative_risk,0.40512820512820513,0.40512820512820513
-35,-70,fall_winter,negative_wet_relative_risk,1.3504273504273503,1.3504273504273503
-35,-70,fall_winter,positive_dry_relative_risk,0,0
-35,-70,fall_winter,negative_dry_relative_risk,0.33760683760683763,0.33760683760683763
-35,-70,spring_summer,positive_wet_relative_risk,0.6781789638932497,0.6781789638932497
-35,-70,spring_summer,negative_wet_relative_risk,0.46285714285714286,0.46285714285714286
-35,-70,spring_summer,positive_dry_relative_risk,4.747252747252748,2
-35,-70,spring_summer,negative_dry_relative_risk,2.16,2
-35,-67.5,spring_summer,positive_wet_relative_risk,1,1
-35,-67.5,spring_summer,negative_wet_relative_risk,1,1
-35,-67.5,spring_summer,positive_dry_relative_risk,0,0
-35,-67.5,spring_summer,negative_dry_relative_risk,0.7200000000000001,0.7200000000000001
-35,-67.5,fall_winter,positive_wet_relative_risk,18,2
-35,-67.5,fall_winter,negative_wet_relative_risk,1,1
-35,-67.5,fall_winter,positive_dry_relative_risk,1,1
-35,-67.5,fall_winter,negative_dry_relative_risk,18,2
-35,-65,fall_winter,positive_wet_relative_risk,0,0
-35,-65,fall_winter,negative_wet_relative_risk,0.4501424501424502,0.4501424501424502
-35,-65,fall_winter,positive_dry_relative_risk,0,0
-35,-65,fall_winter,negative_dry_relative_risk,2.700854700854701,2
-35,-65,spring_summer,positive_wet_relative_risk,0,0
-35,-65,spring_summer,negative_wet_relative_risk,0.7200000000000001,0.7200000000000001
-35,-65,spring_summer,positive_dry_relative_risk,1,1
-35,-65,spring_summer,negative_dry_relative_risk,18,2
-35,-62.5,spring_summer,positive_wet_relative_risk,2.373626373626374,2
-35,-62.5,spring_summer,negative_wet_relative_risk,0,0
-35,-62.5,spring_summer,positive_dry_relative_risk,1,1
-35,-62.5,spring_summer,negative_dry_relative_risk,1,1
-35,-62.5,fall_winter,positive_wet_relative_risk,18,2
-35,-62.5,fall_winter,negative_wet_relative_risk,18,2
-35,-62.5,fall_winter,positive_dry_relative_risk,1,1
-35,-62.5,fall_winter,negative_dry_relative_risk,1,1
-35,-60,spring_summer,positive_wet_relative_risk,1.631868131868132,1.631868131868132
-35,-60,spring_summer,negative_wet_relative_risk,0.54,0.54
-35,-60,spring_summer,positive_dry_relative_risk,0.29670329670329676,0.29670329670329676
-35,-60,spring_summer,negative_dry_relative_risk,1.08,1.08
-35,-60,fall_winter,positive_wet_relative_risk,1.7555555555555558,1.7555555555555558
-35,-60,fall_winter,negative_wet_relative_risk,1.050332383665717,1.050332383665717
-35,-60,fall_winter,positive_dry_relative_risk,1,1
-35,-60,fall_winter,negative_dry_relative_risk,18,2
-35,-57.5,fall_winter,positive_wet_relative_risk,0,0
-35,-57.5,fall_winter,negative_wet_relative_risk,1.3504273504273505,1.3504273504273505
-35,-57.5,fall_winter,positive_dry_relative_risk,1,1
-35,-57.5,fall_winter,negative_dry_relative_risk,1,1
-35,-57.5,spring_summer,positive_wet_relative_risk,2.034536891679749,2
-35,-57.5,spring_summer,negative_wet_relative_risk,0.9257142857142857,0.9257142857142857
-35,-57.5,spring_summer,positive_dry_relative_risk,18,2
-35,-57.5,spring_summer,negative_dry_relative_risk,18,2
-35,-55,spring_summer,positive_wet_relative_risk,1.695447409733124,1.695447409733124
-35,-55,spring_summer,negative_wet_relative_risk,0.3085714285714286,0.3085714285714286
-35,-55,spring_summer,positive_dry_relative_risk,1,1
-35,-55,spring_summer,negative_dry_relative_risk,18,2
-35,-55,fall_winter,positive_wet_relative_risk,18,2
-35,-55,fall_winter,negative_wet_relative_risk,1,1
-35,-55,fall_winter,positive_dry_relative_risk,1,1
-35,-55,fall_winter,negative_dry_relative_risk,1,1
-35,17.5,spring_summer,positive_wet_relative_risk,0.5274725274725276,0.5274725274725276
-35,17.5,spring_summer,negative_wet_relative_risk,0.72,0.72
-35,17.5,spring_summer,positive_dry_relative_risk,4.9167974882260594,2
-35,17.5,spring_summer,negative_dry_relative_risk,0,0
-35,17.5,fall_winter,positive_wet_relative_risk,1.2153846153846155,1.2153846153846155
-35,17.5,fall_winter,negative_wet_relative_risk,0,0
-35,17.5,fall_winter,positive_dry_relative_risk,1,1
-35,17.5,fall_winter,negative_dry_relative_risk,18,2
-35,20,spring_summer,positive_wet_relative_risk,0,0
-35,20,spring_summer,negative_wet_relative_risk,0,0
-35,20,spring_summer,positive_dry_relative_risk,0,0
-35,20,spring_summer,negative_dry_relative_risk,0,0
-35,20,fall_winter,positive_wet_relative_risk,0,0
-35,20,fall_winter,negative_wet_relative_risk,0,0
-35,20,fall_winter,positive_dry_relative_risk,1,1
-35,20,fall_winter,negative_dry_relative_risk,1,1
-35,22.5,spring_summer,positive_wet_relative_risk,0,0
-35,22.5,spring_summer,negative_wet_relative_risk,0,0
-35,22.5,spring_summer,positive_dry_relative_risk,2.373626373626374,2
-35,22.5,spring_summer,negative_dry_relative_risk,0,0
-35,22.5,fall_winter,positive_wet_relative_risk,1.2153846153846155,1.2153846153846155
-35,22.5,fall_winter,negative_wet_relative_risk,0,0
-35,22.5,fall_winter,positive_dry_relative_risk,1,1
-35,22.5,fall_winter,negative_dry_relative_risk,1,1
-35,25,fall_winter,positive_wet_relative_risk,1.2153846153846155,1.2153846153846155
-35,25,fall_winter,negative_wet_relative_risk,6.752136752136752,2
-35,25,fall_winter,positive_dry_relative_risk,0,0
-35,25,fall_winter,negative_dry_relative_risk,0,0
-35,25,spring_summer,positive_wet_relative_risk,1.5824175824175826,1.5824175824175826
-35,25,spring_summer,negative_wet_relative_risk,0,0
-35,25,spring_summer,positive_dry_relative_risk,0.15824175824175823,0.15824175824175823
-35,25,spring_summer,negative_dry_relative_risk,0.288,0.288
-35,115,spring_summer,positive_wet_relative_risk,0,0
-35,115,spring_summer,negative_wet_relative_risk,1.08,1.08
-35,115,spring_summer,positive_dry_relative_risk,1,1
-35,115,spring_summer,negative_dry_relative_risk,18,2
-35,115,fall_winter,positive_wet_relative_risk,1,1
-35,115,fall_winter,negative_wet_relative_risk,1,1
-35,115,fall_winter,positive_dry_relative_risk,18,2
-35,115,fall_winter,negative_dry_relative_risk,1,1
-35,135,fall_winter,positive_wet_relative_risk,1,1
-35,135,fall_winter,negative_wet_relative_risk,1,1
-35,135,fall_winter,positive_dry_relative_risk,18,2
-35,135,fall_winter,negative_dry_relative_risk,18,2
-35,137.5,fall_winter,positive_wet_relative_risk,0.6076923076923078,0.6076923076923078
-35,137.5,fall_winter,negative_wet_relative_risk,0,0
-35,137.5,fall_winter,positive_dry_relative_risk,3.0384615384615388,2
-35,137.5,fall_winter,negative_dry_relative_risk,1.3504273504273505,1.3504273504273505
-35,137.5,spring_summer,positive_wet_relative_risk,1,1
-35,137.5,spring_summer,negative_wet_relative_risk,18,2
-35,137.5,spring_summer,positive_dry_relative_risk,1,1
-35,137.5,spring_summer,negative_dry_relative_risk,1,1
-35,140,fall_winter,positive_wet_relative_risk,1,1
-35,140,fall_winter,negative_wet_relative_risk,18,2
-35,140,fall_winter,positive_dry_relative_risk,1.2153846153846153,1.2153846153846153
-35,140,fall_winter,negative_dry_relative_risk,0.5401709401709401,0.5401709401709401
-35,142.5,fall_winter,positive_wet_relative_risk,1,1
-35,142.5,fall_winter,negative_wet_relative_risk,18,2
-35,142.5,fall_winter,positive_dry_relative_risk,0,0
-35,142.5,fall_winter,negative_dry_relative_risk,0,0
-35,145,fall_winter,positive_wet_relative_risk,18,2
-35,145,fall_winter,negative_wet_relative_risk,18,2
-35,145,fall_winter,positive_dry_relative_risk,1,1
-35,145,fall_winter,negative_dry_relative_risk,1,1
-35,147.5,fall_winter,positive_wet_relative_risk,3.6461538461538465,2
-35,147.5,fall_winter,negative_wet_relative_risk,2.700854700854701,2
-35,147.5,fall_winter,positive_dry_relative_risk,2.0256410256410255,2
-35,147.5,fall_winter,negative_dry_relative_risk,0,0
-35,150,fall_winter,positive_wet_relative_risk,1.475824175824176,1.475824175824176
-35,150,fall_winter,negative_wet_relative_risk,2.700854700854701,2
-35,150,fall_winter,positive_dry_relative_risk,0.7427350427350428,0.7427350427350428
-35,150,fall_winter,negative_dry_relative_risk,0.3751187084520418,0.3751187084520418
-35,150,spring_summer,positive_wet_relative_risk,0.989010989010989,0.989010989010989
-35,150,spring_summer,negative_wet_relative_risk,1.08,1.08
-35,150,spring_summer,positive_dry_relative_risk,1,1
-35,150,spring_summer,negative_dry_relative_risk,18,2
-35,172.5,spring_summer,positive_wet_relative_risk,1,1
-35,172.5,spring_summer,negative_wet_relative_risk,1,1
-35,172.5,spring_summer,positive_dry_relative_risk,0,0
-35,172.5,spring_summer,negative_dry_relative_risk,0,0
-35,172.5,fall_winter,positive_wet_relative_risk,0,0
-35,172.5,fall_winter,negative_wet_relative_risk,0,0
-35,172.5,fall_winter,positive_dry_relative_risk,1,1
